id	abundance	counts	length	biotype	type	zScore	pValue	call
FBgn0000003	68.4734236165204	57.5	133.631	ncRNA	genic	4.07630144313029	8.63434560831778e-07	present
FBgn0000008	1.79108275281864	46	4086.990199375	protein_coding	genic	0.82209263897771	0.00775590847203459	present
FBgn0000014	3.16612029115045	75	3769.6	protein_coding	genic	1.33089440386328	0.00345737986106921	present
FBgn0000015	0.0595366126232547	3	8018.6	protein_coding	genic	-2.218086729323	0.0372384567630665	present
FBgn0000017	3.9375451355442	168.1495583326	6795.65937655726	protein_coding	genic	1.52564062727664	0.00239832906105532	present
FBgn0000018	3.3222009880364	34	1628.6	protein_coding	genic	1.37387046741348	0.00319807491024873	present
FBgn0000022	0	0	751.6	protein_coding	genic	NA	1	absent
FBgn0000024	0.679822385924586	17	3979.37508468299	protein_coding	genic	-0.0431166144804754	0.0195186699734659	present
FBgn0000028	13.971211326703	234.00024136071	2665.28503021715	protein_coding	genic	2.65672830588657	0.000148887709934496	present
FBgn0000032	27.6055318929891	299	1723.6	protein_coding	genic	3.26496308427021	2.06582499600017e-05	present
FBgn0000036	1.60846222233975	37	3660.6	protein_coding	genic	0.726044424390341	0.00882746974196808	present
FBgn0000037	0.366905175573212	11.9999600892	5204.60027252978	protein_coding	genic	-0.593927142367966	0.0273127623751563	present
FBgn0000038	1.90827578963318	25	2084.7802528262	protein_coding	genic	0.878698543408715	0.00716227811303175	present
FBgn0000039	0	0	2187.6	protein_coding	genic	NA	1	absent
FBgn0000042	1478.38790219946	16554.666	1781.94148836953	protein_coding	genic	6.82021306669579	1.71536231935681e-13	present
FBgn0000043	212.671813050933	1952	1460.6	protein_coding	genic	5.08848620597235	6.81070290700139e-09	present
FBgn0000044	35.6343095545094	349.013	1558.6	protein_coding	genic	3.49297192229008	9.0136231358671e-06	present
FBgn0000045	4.50508396178193	39	1377.6	protein_coding	genic	1.6458991556357	0.00188290537113563	present
FBgn0000046	1176.73357337104	10436.32	1411.33677823354	protein_coding	genic	6.61639449646058	6.94528755266153e-13	present
FBgn0000047	0.333939760758835	3	1429.6	protein_coding	genic	-0.6780104474745	0.0283467429601351	present
FBgn0000052	11.6856823311279	301.9998113121	4112.57671262967	protein_coding	genic	2.49718698232737	0.000236216602791038	present
FBgn0000053	4.69184167613127	71	2408.11052889775	protein_coding	genic	1.68217588358149	0.00174610402829734	present
FBgn0000055	323.296367688444	1791.68456	881.905685362756	protein_coding	genic	5.46253977547083	8.85688352969917e-10	present
FBgn0000056	1.78888600772923	21.31856	1896.42912059077	protein_coding	genic	0.820997113862349	0.0077676782214208	present
FBgn0000057	47.7639850557912	638	2125.6	protein_coding	genic	3.75462235011721	3.27583944256691e-06	present
FBgn0000061	0	0	1640.6	protein_coding	genic	NA	1	absent
FBgn0000063	5.39269162229321	66	1947.6	protein_coding	genic	1.80651645425115	0.00133668723295974	present
FBgn0000064	227.301617883549	2192.9972244	1535.31315653035	protein_coding	genic	5.14790363041934	4.97054209409061e-09	present
FBgn0000071	0.818707778101819	6.99999891974	1360.60002015101	protein_coding	genic	0.122912365697234	0.017023812080428	present
FBgn0000075	2.64146227580688	27	1626.6	protein_coding	genic	1.16908231080444	0.00457346136466079	present
