id	abundance	counts	length	biotype	type	zScore	pValue	call
FBgn0000003	105.56202096946	180.5	120.004	ncRNA	genic	6.13669330164179	9.45152906721879e-11	present
FBgn0000008	0.844813193397591	55	4569.07423358347	protein_coding	genic	1.42330842517637	0.0173475368673515	present
FBgn0000014	7.08584149707107	393.9998	3902.39098917739	protein_coding	genic	3.49958481456001	5.22717888717315e-05	present
FBgn0000015	0.121045270586842	7	4058.60164067894	protein_coding	genic	-0.473540237506231	0.153026333344308	absent
FBgn0000017	8.48826811261896	730.774968	6042.14002792405	protein_coding	genic	3.67588637947683	2.65883349432339e-05	present
FBgn0000018	14.2971536152376	329	1615	protein_coding	genic	4.18488825935784	3.20043129084296e-06	present
FBgn0000022	0	0	738	protein_coding	genic	NA	1	absent
FBgn0000024	0.611566576659231	37.99994	4360.79208483931	protein_coding	genic	1.10788403873705	0.0300530795859934	present
FBgn0000028	9.73629636460793	370.00021148598	2667.06990884859	protein_coding	genic	3.80980639250863	1.56008441925784e-05	present
FBgn0000032	32.5464244885889	807	1740.1891737568	protein_coding	genic	4.98798003860775	6.84424516475869e-08	present
FBgn0000036	1.01991994619054	55.99997	3853.4339676547	protein_coding	genic	1.60720348824729	0.012116017351367	present
FBgn0000037	0.310958920037544	23	5191	protein_coding	genic	0.447567237174048	0.0734148254001008	absent
FBgn0000038	2.43068129080069	79	2281	protein_coding	genic	2.45504532763863	0.00158017688121326	present
FBgn0000039	0.0327953627369949	1	2140	protein_coding	genic	-1.74843154446841	0.215332772900359	absent
FBgn0000042	402.840354575508	9415.39542	1640.33218582123	protein_coding	genic	7.44415649578718	1.09444648305352e-14	present
FBgn0000043	436.176511251363	8993	1447	protein_coding	genic	7.52177664170667	6.061595523694e-15	present
FBgn0000044	15.401581554189	339.053	1545	protein_coding	genic	4.25753205499439	2.31861752542706e-06	present
FBgn0000045	1.85361364980055	37.999951	1438.76554811606	protein_coding	genic	2.19044469114713	0.0031960969274646	present
FBgn0000046	461.443086951248	9623.5492	1463.67056505579	protein_coding	genic	7.57675193823037	3.97451773454537e-15	present
FBgn0000047	0.0495740215347339	1.00021	1416	protein_coding	genic	-1.34505087362431	0.204314980296335	absent
FBgn0000052	8.20140923745443	481.9995	4124.62354767422	protein_coding	genic	3.64232418747731	3.03083462073336e-05	present
FBgn0000053	4.17137115245638	236.00036	3970.63571111048	protein_coding	genic	2.98230222789284	0.000320921474746777	present
FBgn0000055	9.03254782905833	115.999969498	901.309227386252	protein_coding	genic	3.73656126658985	2.09267394306702e-05	present
FBgn0000056	0.0953560818711537	1	736	protein_coding	genic	-0.706426742952999	0.170515013625357	absent
FBgn0000057	49.3861280175399	1473	2093.26388758589	protein_coding	genic	5.39508615113649	7.68295815832222e-09	present
FBgn0000061	0.0431358796909459	1	1627	protein_coding	genic	-1.48086714898197	0.208798268478162	absent
FBgn0000063	14.1525386454478	390	1934	protein_coding	genic	4.17496534619105	3.34317435103887e-06	present
FBgn0000064	553.329857131647	12384.996202229	1570.86182266645	protein_coding	genic	7.75403974852502	9.98521612101404e-16	present
FBgn0000071	1.48492908167442	28.9999703485	1370.62311969745	protein_coding	genic	1.9739352223588	0.00542805955417158	present
FBgn0000075	4.28560314501678	98	1604.87176261293	protein_coding	genic	3.0086781892343	0.000294333096570587	present
FBgn0000077	1.2241059265186	19	1089.3333820208	protein_coding	genic	1.78535961370123	0.00832373932620462	present
FBgn0000078	10.9427480175132	222.497	1427	protein_coding	genic	3.92385056256395	9.77548854547038e-06	present
FBgn0000079	26.4423363202179	533.503	1416	protein_coding	genic	4.78520605608573	1.91608759523254e-07	present
FBgn0000083	39.8786935535288	648.5746	1141.41933899023	protein_coding	genic	5.1863300930929	2.40591773530214e-08	present
FBgn0000084	60.9148329633491	925	1065.72434626787	protein_coding	genic	5.59991453678417	2.40568207575368e-09	present
FBgn0000092	0.0841511705721454	1	834	protein_coding	genic	-0.828463679776729	0.178649382535695	absent
FBgn0000094	1.50761737247056	2	93.1033	protein_coding	genic	1.98873558326933	0.00524199305170813	present
FBgn0000097	2.64278110528585	153.33277	4071.92715860551	protein_coding	genic	2.53671863464	0.00125520548250853	present
FBgn0000100	149.340940363687	2316	1088.39336497929	protein_coding	genic	6.47539237725044	1.06079485861302e-11	present
FBgn0000108	0.240877362338546	18	5244.48358436249	protein_coding	genic	0.198253496365307	0.0945465281912127	absent
FBgn0000109	8.290119120247	81.00003	685.726007049658	protein_coding	genic	3.65282499025655	2.90950037389808e-05	present
FBgn0000114	493.591498538424	22874.98525	3252.51541801453	protein_coding	genic	7.6425031459056	2.38976764778245e-15	present
FBgn0000115	26.6773974076959	260	684	protein_coding	genic	4.79384528388191	1.83534917078997e-07	present
FBgn0000116	164.484965404768	4079.99480003641	1740.84303377133	protein_coding	genic	6.56968999436722	5.655888982745e-12	present
FBgn0000117	30.3899207637494	1274	2942.15854811602	protein_coding	genic	4.92105040657214	9.65615108133214e-08	present
FBgn0000119	7.87672233100136	656	5845	protein_coding	genic	3.60288668464	3.53018532127874e-05	present
FBgn0000120	19.2001941842043	322	1177	protein_coding	genic	4.47275293227214	8.66205692244242e-07	present
FBgn0000121	0.0513026873224921	1	1368	protein_coding	genic	-1.31159379762506	0.203075621145946	absent
FBgn0000137	0	0	2251	protein_coding	genic	NA	1	absent
FBgn0000139	16.2601485204607	396.0004	1709.21749181427	protein_coding	genic	4.3104929563287	1.8272337747183e-06	present
FBgn0000140	18.7676375378402	1647	6159	protein_coding	genic	4.45050788760761	9.60976576916484e-07	present
FBgn0000146	12.3070665044213	464.000206515	2645.99999238479	protein_coding	genic	4.03856354673341	6.03273068775799e-06	present
FBgn0000147	87.0498714091068	1734	1398	protein_coding	genic	5.94844868744788	3.03653551023732e-10	present
FBgn0000150	280.553027930414	1776.004	444.278392147502	protein_coding	genic	7.09095866151488	1.49401848831022e-13	present
FBgn0000152	1.34954040041593	46.073	2396	protein_coding	genic	1.88059603705658	0.00673353047018883	present
FBgn0000153	0.645963885420616	17	1847	protein_coding	genic	1.16130537895797	0.0275410087175387	present
FBgn0000157	0.282139015152051	9	2238.7498799984	protein_coding	genic	0.352616507843979	0.0812570416102154	absent
FBgn0000158	2.78027466779957	70	1767	protein_coding	genic	2.5862358358672	0.00108844205937677	present
FBgn0000163	4.04632306267827	388.4918	6738.25611809604	protein_coding	genic	2.95258936580321	0.000353487537270441	present
FBgn0000166	0.453533704308531	15.1346087	2342.00512953109	protein_coding	genic	0.8160218973415	0.0464952441496622	present
FBgn0000173	47.6093800928141	551.999574	813.715198997943	protein_coding	genic	5.35931774167667	9.37076228486518e-09	present
FBgn0000179	0.761862807650841	42	3869	protein_coding	genic	1.32241139913595	0.0208680925251263	present
FBgn0000180	1.11040417713958	49	3097	protein_coding	genic	1.69018692473426	0.0102070710672088	present
FBgn0000181	505.84836536668	6424	891.274320021262	protein_coding	genic	7.66645058673046	1.98349636538528e-15	present
FBgn0000182	175.149335287589	7094.5654	2842.78172735696	protein_coding	genic	6.63101854294825	3.73967935433689e-12	present
FBgn0000183	7.6284868730322	405.00018	3726.00149807026	protein_coding	genic	3.57162409065896	3.97968987971366e-05	present
FBgn0000206	1.51062337744789	61	2834	protein_coding	genic	1.99068388893493	0.0052179039620506	present
