target_id	length	eff_length	est_counts	tpm
FBti0064139-RA	56	7.11736	0	0
FBtr0346717	952	773	72.243	6.55539
FBtr0079891	845	666	62.757	6.60953
FBtr0077956	2701	2522	2649	73.6749
FBtr0347405	3401	3222	4.90411	0.106762
FBtr0347406	2744	2565	1.48628	0.040644
FBtr0347403	2371	2192	109.123	3.49188
FBtr0347404	2744	2565	1.48628	0.040644
FBti0060585-RA	62	7.39651	0	0
FBtr0304931	2190	2011	158.998	5.54577
FBtr0080956	2066	1887	761.002	28.2876
FBtr0339505	1709	1530	33	1.51288
FBtr0091899	413	234	0.0549792	0.0164803
FBti0019203-RA	606	427	0	0
FBtr0304384	23	5.67407	0	0
FBti0019836-RA	256	77.4659	0	0
FBti0063666-RA	175	22.8744	0	0
FBtr0080163	761	582	789.919	95.2011
FBtr0340226	807	628	235.541	26.3081
FBtr0080164	798	619	1204.54	136.494
FBtr0114603	2237	2058	21.9072	0.746662
FBtr0345720	2361	2182	10.0119	0.321842
FBtr0089948	2222	2043	0	0
FBtr0329952	2603	2424	21.0809	0.610014
FBtr0345735	328	149	0	0
FBtr0346484	673	494	0	0
FBtr0080853	786	607	6	0.693338
FBtr0305564	811	632	0	0
FBtr0445729	4048	3869	1	0.0181294
FBtr0445730	5632	5453	0	0
FBtr0445732	2458	2279	0	0
FBtr0445731	2385	2206	0	0
FBti0061379-RA	112	10.8985	0	0
FBtr0342928	612	433	116.695	18.9037
FBtr0081192	471	292	344.305	82.7071
FBtr0110839	668	489	101	14.4876
FBtr0077903	1436	1257	266	14.8432
FBtr0472829	21	5.53965	0	0
FBti0019847-RA	415	236	0	0
FBtr0081101	450	271	332	85.9313
FBtr0080923	1041	862	1	0.081372
FBtr0481631	821	642	303	33.1047
FBtr0331220	9009	8830	0	0
FBtr0331219	2907	2728	0	0
FBtr0290295	2768	2589	0	0
FBtr0331216	9188	9009	0	0
FBtr0301972	783	604	0	0
FBtr0331221	8906	8727	3.36341e-08	2.70332e-10
FBtr0331218	9186	9007	8.28724	0.0645375
FBtr0331217	2882	2703	4.14582	0.107584
FBtr0331222	763	584	1.56694	0.188201
FBtr0344106	1602	1423	54.2875	2.67595
FBtr0081205	1742	1563	385	17.2776
FBtr0445829	564	385	0	0
FBtr0342642	515	336	537	112.103
FBtr0346727	1248	1069	1	0.0656153
FBtr0337091	4576	4397	37.9779	0.605839
FBtr0080874	3796	3617	0	0
FBtr0080873	3534	3355	22.0221	0.460414
FBtr0301144	2535	2356	0	0
FBtr0079204	855	676	2239	232.322
